new entry "Dome_DomeOfProtectionTerrainOSR"
type "SkillData"
data "SkillType" "Dome"
data "ForGameMaster" "No"
data "IsEnemySkill" "No"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "Lifetime" "3"
data "AuraSelf" "PROTECTION_AURA"
data "AuraAllies" "PROTECTION_AURA"
data "TargetRadius" "0"
data "AreaRadius" "3"
data "Icon" "Skill_Summoning_CircleOfProtection"
data "FXScale" "100"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "DomeEffect" "RS3_FX_Skills_Divine_Protective_Dome_01"

