new entry "Summon_SoulWolfOSR"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "ActionPoints" "1"
data "Cooldown" "6"
data "Lifetime" "10"
data "SummonLevel" "-1"
data "Memory Cost" "0"
data "Magic Cost" "1"
data "Template" "c651cb49-220a-4151-9b46-e5dbe955fdd5"
data "TemplateAdvanced" "e04ae411-86f9-4cc6-aa47-9306524a0148"
data "TemplateOverride" "e04ae411-86f9-4cc6-aa47-9306524a0148"
data "TargetRadius" "13"
data "SummonCount" "1"
data "Icon" "Skill_Origins_SoulWolf"
data "DisplayName" "Summon_SoulWolfOSR_DisplayName"
data "DisplayNameRef" "Summon Soul Wolf"
data "Description" "Summon_SoulWolfOSR_Description"
data "DescriptionRef" "Summon your trusty Soul Wolf.<br><br>At 10 Summoning, the Soul Wolf increases in size and gains additional stats."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_Totem_Root_01,KeepRot,Detach;RS3_FX_Skills_Totem_Prepare_Totem_Wolf_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Dummy_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Summon_Totem_Root_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_Summon_Totem_Wolf_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Cast_Self_Totem_Root_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_Self_Totem_Dummy_01:Dummy_OverheadFX"
data "CastEffectTextEvent" "cast"
data "TargetCastEffect" "RS3_FX_Skills_Totem_Impact_Summon_Ancestral_01"
data "TargetEffect" "RS3_FX_Skills_Totem_Target_Ancestral_01"
data "AiCalculationSkillOverride" "Target_DummyTargetSkill"

